"","id","city"
"1","110000","北京市"
"2","110101","东城区"
"3","110102","西城区"
"4","110103","崇文区"
"5","110104","宣武区"
"6","110105","朝阳区"
"7","110106","丰台区"
"8","110107","石景山区"
"9","110108","海淀区"
"10","110109","门头沟区"
"11","110111","房山区"
"12","110221","昌平县"
"13","110222","顺义县"
"14","110223","通县"
"15","110224","大兴县"
"16","110226","平谷县"
"17","110227","怀柔县"
"18","110228","密云县"
"19","110229","延庆县"
"20","120000","天津市"
"21","120101","和平区"
"22","120102","河东区"
"23","120103","河西区"
"24","120104","南开区"
"25","120105","河北区"
"26","120106","红桥区"
"27","120107","塘沽区"
"28","120108","汉沽区"
"29","120109","大港区"
"30","120110","东郊区"
"31","120111","西郊区"
"32","120112","南郊区"
"33","120113","北郊区"
"34","120221","宁河县"
"35","120222","武清县"
"36","120223","静海县"
"37","120224","宝坻县"
"38","120225","蓟县"
"39","130000","河北省"
"40","130100","石家庄市"
"41","130102","长安区"
"42","130103","桥东区"
"43","130104","桥西区"
"44","130105","新华区"
"45","130106","郊区"
"46","130107","井陉矿区"
"47","130121","井陉县"
"48","130122","获鹿县"
"49","130123","栾城县"
"50","130124","正定县"
"51","130200","唐山市"
"52","130202","路南区"
"53","130203","路北区"
"54","130204","东矿区"
"55","130205","开平区"
"56","130206","新区"
"57","130221","丰润县"
"58","130222","丰南县"
"59","130223","滦县"
"60","130224","滦南县"
"61","130225","乐亭县"
"62","130226","迁安县"
"63","130227","迁西县"
"64","130228","遵化县"
"65","130229","玉田县"
"66","130230","唐海县"
"67","130300","秦皇岛市"
"68","130302","海港区"
"69","130303","山海关区"
"70","130304","北戴河区"
"71","130321","青龙满族自治县"
"72","130322","昌黎县"
"73","130323","抚宁县"
"74","130324","卢龙县"
"75","130400","邯郸市"
"76","130402","邯山区"
"77","130403","丛台区"
"78","130404","复兴区"
"79","130406","峰峰矿区"
"80","130421","邯郸县"
"81","130422","武安县"
"82","130500","邢台市"
"83","130502","桥东区"
"84","130503","桥西区"
"85","130504","郊区"
"86","130521","邢台县"
"87","130600","保定市"
"88","130602","新市区"
"89","130603","北市区"
"90","130604","南市区"
"91","130605","郊区"
"92","130621","满城县"
"93","130622","清苑县"
"94","130700","张家口市"
"95","130702","桥东区"
"96","130703","桥西区"
"97","130704","茶坊区"
"98","130705","宣化区"
"99","130706","下花园区"
"100","130707","庞家堡区"
"101","130721","宣化县"
"102","130800","承德市"
"103","130802","双桥区"
"104","130803","双滦区"
"105","130804","鹰手营子矿区"
"106","130821","承德县"
"107","130900","沧州市"
"108","130902","新华区"
"109","130903","运河区"
"110","130904","郊区"
"111","130921","沧县"
"112","130922","青县"
"113","132100","邯郸地区"
"114","132121","大名县"
"115","132122","魏县"
"116","132123","曲周县"
"117","132124","丘县"
"118","132125","鸡泽县"
"119","132126","肥乡县"
"120","132127","广平县"
"121","132128","成安县"
"122","132129","临漳县"
"123","132130","磁县"
"124","132132","涉县"
